fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
