fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,16,0.9551282051282052,0.9362274533781719,0.8717948717948718,0.8303393213572855,,,,0.11666666666666667,0.0732905982905983,0.08333333333333333
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,16,0.9038461538461539,0.8369439518926838,0.9230769230769231,0.8826086956521739,,,,0.11666666666666667,0.0732905982905983,0.08333333333333333
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,17,0.9551282051282052,0.9362274533781719,0.8717948717948718,0.8303393213572855,,,,0.11923076923076924,0.0732905982905983,0.17307692307692307
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,17,0.9038461538461539,0.8369439518926838,0.9230769230769231,0.8826086956521739,,,,0.11923076923076924,0.0732905982905983,0.17307692307692307
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,20,0.9551282051282052,0.9348898183407205,0.8974358974358975,0.8605577689243029,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,20,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,20,0.9551282051282052,0.9348898183407205,0.8974358974358975,0.8605577689243029,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,20,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,20,0.9551282051282052,0.9348898183407205,0.8974358974358975,0.8605577689243029,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,20,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,N1,20,0.9551282051282052,0.9348898183407205,0.8974358974358975,0.8605577689243029,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,N1,20,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11282051282051284,0.06965811965811966,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,Hostility,7,0.9487179487179487,0.9276460523099486,0.8974358974358975,0.8605577689243029,,,,0.11025641025641025,0.08547008547008546,0.05128205128205128
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,Hostility,7,0.9038461538461539,0.8369439518926838,0.8717948717948718,0.8164146868250538,,,,0.11025641025641025,0.08547008547008546,0.05128205128205128
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,Hostility,9,0.9423076923076923,0.9175341270335973,0.9230769230769231,0.8924302788844624,,,,0.11923076923076924,0.09049145299145299,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,Hostility,9,0.9038461538461539,0.8369439518926838,0.9230769230769231,0.8826086956521739,,,,0.11923076923076924,0.09049145299145299,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,Hostility,10,0.9487179487179487,0.9261477045908182,0.9230769230769231,0.8924302788844624,,,,0.12179487179487179,0.07179487179487179,0.0641025641025641
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,Hostility,10,0.9038461538461539,0.8369439518926838,0.9230769230769231,0.8826086956521739,,,,0.12179487179487179,0.07179487179487179,0.0641025641025641
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,Hostility,12,0.9487179487179487,0.9276460523099486,0.8974358974358975,0.8605577689243029,,,,0.10897435897435898,0.052884615384615384,0.08974358974358974
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,Hostility,12,0.9038461538461539,0.8369439518926838,0.8974358974358975,0.8484848484848485,,,,0.10897435897435898,0.052884615384615384,0.08974358974358974
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,Hostility,13,0.9487179487179487,0.9261477045908182,0.9230769230769231,0.8924302788844624,,,,0.10128205128205127,0.06303418803418803,0.07692307692307693
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,Hostility,13,0.9102564102564102,0.8507059176930009,0.8974358974358975,0.8484848484848485,,,,0.10128205128205127,0.06303418803418803,0.07692307692307693
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,Hostility,13,0.9551282051282052,0.9362274533781719,0.8974358974358975,0.8605577689243029,,,,0.10384615384615384,0.06303418803418803,0.07692307692307693
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,Hostility,13,0.9102564102564102,0.8507059176930009,0.8974358974358975,0.8484848484848485,,,,0.10384615384615384,0.06303418803418803,0.07692307692307693
