measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,6,NaiveBayes,"f12,f8,f9,f2,f14,f7",0.8879999999999999,0.023151673805580447,0.887820309653609,0.023315705833836017,0.8779999999999999,0.898,0.0351567916624939,0.045122056690713896
Hostility,6,DecisionTree,"f12,f8,f9,f2,f14,f7",0.8380000000000001,0.03627671429443411,0.8374233423825019,0.03648013533156281,0.836,0.8400000000000001,0.04963869458396341,0.07536577472566708
Hostility,6,XGBoost,"f12,f8,f9,f2,f14,f7",0.8920000000000001,0.034292856398964504,0.8917873999369099,0.03435145461682777,0.892,0.892,0.041182520563948,0.06273754856543248
Hostility,7,LogReg,"f12,f8,f9,f2,f14,f7,f4",0.917,0.010999999999999987,0.9169205813454535,0.010961952308448175,0.906,0.9280000000000002,0.023748684174075826,0.037094473981982796
Hostility,7,SVM-linear,"f12,f8,f9,f2,f14,f7,f4",0.9129999999999999,0.01552417469626002,0.9129008163156136,0.01550242005606592,0.9000000000000001,0.9260000000000002,0.02966479394838264,0.039038442591886255
Hostility,7,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4",0.938,0.008717797887081314,0.9379146574636404,0.00874666511865095,0.93,0.9460000000000001,0.036055512754639876,0.03469870314579493
Hostility,7,RandomForest,"f12,f8,f9,f2,f14,f7,f4",0.9099999999999999,0.0167332005306815,0.9098989370546748,0.016725646452794517,0.908,0.9120000000000001,0.031240998703626604,0.04118252056394799
Hostility,7,KNN,"f12,f8,f9,f2,f14,f7,f4",0.9099999999999999,0.01732050807568879,0.9097211882616731,0.017778056163450177,0.916,0.9039999999999999,0.041761226035642196,0.05499090833947007
Hostility,7,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4",0.89,0.024494897427831775,0.8898582683201288,0.02460192178413566,0.8779999999999999,0.9019999999999999,0.0351567916624939,0.04044749683231335
Hostility,7,DecisionTree,"f12,f8,f9,f2,f14,f7,f4",0.8630000000000001,0.03377869150810908,0.8627553209970193,0.03388233860917804,0.852,0.874,0.04749736834815167,0.05141984052872976
Hostility,7,XGBoost,"f12,f8,f9,f2,f14,f7,f4",0.93,0.01843908891458575,0.9298912008835265,0.018495577908769177,0.9259999999999999,0.9339999999999998,0.04476605857119878,0.03469870314579493
Hostility,8,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6",0.9269999999999999,0.016763054614240186,0.9269008164611996,0.0167774895345308,0.9279999999999999,0.9260000000000002,0.027129319932501048,0.04903060268852505
Hostility,8,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6",0.9279999999999999,0.017204650534085222,0.9279100205085566,0.017235359271833936,0.93,0.9260000000000002,0.02569046515733023,0.046518813398452014
Hostility,8,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6",0.9469999999999998,0.010999999999999977,0.9469501326359675,0.011020792263250034,0.9560000000000001,0.9380000000000001,0.02939387691339812,0.03026549190084309
Hostility,8,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6",0.9349999999999999,0.009219544457292847,0.9349458335006116,0.009201962208755314,0.9339999999999999,0.9359999999999999,0.0269072480941474,0.03322649545167228
Hostility,8,KNN,"f12,f8,f9,f2,f14,f7,f4,f6",0.942,0.013999999999999969,0.9419507749763962,0.014005108924214362,0.9540000000000001,0.9299999999999999,0.031048349392520033,0.027202941017470866
Hostility,8,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6",0.8900000000000002,0.017320508075688787,0.8897804000869247,0.017374501527528948,0.876,0.9039999999999999,0.036660605559646724,0.04799999999999998
Hostility,8,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6",0.8880000000000001,0.025612496949731417,0.8878397425975194,0.025591907494705638,0.8879999999999999,0.8880000000000001,0.03919183588453085,0.049152822909778016
Hostility,8,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6",0.945,0.014999999999999968,0.9449632837732519,0.015022626458167838,0.95,0.9400000000000002,0.016124515496597092,0.03577708763999662
Hostility,9,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.9259999999999999,0.0162480768092719,0.925902617970501,0.016258892341865058,0.9279999999999999,0.924,0.027129319932501048,0.047999999999999994
Hostility,9,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.9259999999999999,0.016852299546352686,0.9259142354712548,0.0168789966584398,0.9299999999999999,0.9219999999999999,0.02569046515733023,0.04422668877499195
Hostility,9,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.9499999999999998,0.011832159566199206,0.9499646111028248,0.0118301564850408,0.96,0.9399999999999998,0.03098386676965932,0.02366431913239844
Hostility,9,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.931,0.016999999999999973,0.9309229338449315,0.017040667911387218,0.9339999999999999,0.9280000000000002,0.0269072480941474,0.04118252056394799
Hostility,9,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.9339999999999999,0.01019803902718553,0.9339149183292011,0.010219611296838705,0.954,0.914,0.028354893757515653,0.031048349392520037
Hostility,9,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.8920000000000001,0.016613247725836167,0.8917844312005752,0.016684312187530453,0.876,0.9080000000000001,0.036660605559646724,0.04578209256903837
Hostility,9,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10",0.882,0.025612496949731417,0.881723994392042,0.02581398662107529,0.8800000000000001,0.884,0.035777087639996645,0.06053098380168622
