feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f34,-0.013749999999999984,-0.01396527777777773,0.012416666666666742,-0.00045833333333333284,-0.00046550925925925764,0.0004138888888888914,30.0,1.0,1.0,1.0,2,KNN
f35,-0.0004166666666666763,-0.01388888888888884,-0.002333333333333354,-1.0416666666666907e-05,-0.000347222222222221,-5.833333333333385e-05,40.0,1.0,1.0,1.0,2,KNN
f36,-0.041666666666666685,0.07462152777777775,-0.0031666666666665955,-0.0006038647342995172,0.0010814714170692427,-4.589371980676225e-05,69.0,1.0,1.0,1.0,2,KNN
f37,0.06291666666666662,-0.007656746031745931,-0.006416666666666626,0.00185049019607843,-0.00022519841269840976,-0.00018872549019607724,34.0,1.0,1.0,1.0,2,KNN
f38,-0.012500000000000011,-0.007340277777777682,-0.00566666666666682,-0.0005000000000000004,-0.0002936111111111073,-0.00022666666666667278,25.0,1.0,1.0,1.0,2,KNN
f39,-0.019166666666666665,0.0007152777777778008,0.00466666666666693,-0.0004563492063492063,1.703042328042383e-05,0.00011111111111111738,42.0,1.0,1.0,1.0,2,KNN
f4,0.01375000000000004,-0.006664682539682554,0.0030833333333334934,0.00038194444444444555,-0.0001851300705467376,8.564814814815259e-05,36.0,1.0,1.0,1.0,2,KNN
f40,-0.03833333333333333,0.006897817460317479,-0.007916666666666683,-0.001369047619047619,0.0002463506235827671,-0.00028273809523809583,28.0,1.0,1.0,1.0,2,KNN
f41,0.062083333333333324,-0.019763888888888914,-0.0029166666666665675,0.0014109848484848482,-0.0004491792929292935,-6.628787878787653e-05,44.0,1.0,1.0,1.0,2,KNN
f42,-0.01749999999999996,-0.013948412698412682,0.00441666666666668,-0.000291666666666666,-0.0002324735449735447,7.361111111111133e-05,60.0,1.0,1.0,1.0,2,KNN
f43,-0.018333333333333313,-0.0038710317460317056,0.004333333333333356,-0.0003107344632768358,-6.561070755985942e-05,7.34463276836162e-05,59.0,1.0,1.0,1.0,2,KNN
f44,-0.00874999999999998,0.02194146825396842,-0.007250000000000034,-0.00016509433962264114,0.00041398996705600794,-0.00013679245283018934,53.0,1.0,1.0,1.0,2,KNN
f45,-0.027083333333333293,-0.008458333333333456,0.014166666666666716,-0.0007523148148148137,-0.00023495370370370713,0.0003935185185185199,36.0,1.0,1.0,1.0,2,KNN
f46,-0.0058333333333333015,-0.007131944444444316,-0.005749999999999977,-7.990867579908632e-05,-9.769786910197693e-05,-7.876712328767093e-05,73.0,1.0,1.0,1.0,2,KNN
f47,-0.014583333333333337,-0.0012291666666666146,-0.004416666666666624,-0.0006340579710144929,-5.344202898550498e-05,-0.00019202898550724453,23.0,1.0,1.0,1.0,2,KNN
f48,-0.0025000000000000022,-0.004018849206349262,-0.0030833333333332713,-0.00010416666666666675,-0.0001674520502645526,-0.00012847222222221963,24.0,1.0,1.0,1.0,2,KNN
